Roll Number,Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English,,,Nepali,,,C. Maths,,,Science,,,Extension,,,Soil,,,Plant protection,,,Fruit,,,Agronomy,,,Computer,,,O. Maths,,
,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks,Theory,Practical,Total Marks
22,45+49+49,21+22+22,,27+34+24,20+23+11,,23+28+13,,,38+38+30,23+25+20,,18+24+20,45+50+50,,30+17+21,57+52+54,,17+16+18,30+45+45,,29+15+21,52+50+55,,30+26+32,50+55+50,,22+19+26,47+50+50,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23+7+17,17+18+18,,22+15+14,20+19+14,,3+2+2,,,5+5+2,20+15+15,,6+2+3,48+38+45,,10+6+1,50+48+41,,3+2+1,42+45+50,,0+2+5,47+44+45,,2+2+4,45+50+40,,7+8+13,40+45+45,,,,
25,15+34+24,17+21+21,,15+26+30,19+23+12,,10+27+6,,,30+9+14,20+15+15,,15+6+15,45+38+45,,12+13+14,50+52+43,,18+6+14,42+45+50,,15+5+11,45+48+45,,16+9+15,50+50+45,,16+16+18,40+45+45,,,,
26,30+47+33,18+22+22,,43+47+32,23+13+13,,20+37+11,,,28+20+18,20+20+15,,15+26+26,45+53+50,,19+14+20,51+52+53,,23+17+33,51+45+50,,21+10+20,50+51+50,,17+21+34,55+55+50,,24+16+27,44+45+45,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,38+51+41,19+23+23,,40+38+24,23+24+11,,43+52+31,,,45+42+33,22+25+20,,23+28+30,45+49+50,,33+28+27,58+57+50,,35+24+33,50+45+50,,27+14+25,54+49+35,,28+27+27,55+55+50,,25+31+30,45+52+52,,,,
29,30+28+21,18+20+20,,37+31+24,22+20+11,,10+8+2,,,23+3+20,20+15+15,,1+11+14,45+42+45,,6+10+16,50+50+52,,29+6+13,30+40+50,,6+3+8,39+49+45,,9+5+12,45+50+45,,16+16+22,40+45+45,,,,
30,38+38+32,19+21+21,,23+33+24,20+20+11,,10+23+2,,,20+14+22,21+15+5,,6+13+17,48+41+40,,8+19+16,51+52+52,,15+13+19,30+40+50,,15+11+16,42+40+45,,14+20+21,50+55+40,,18+16+22,40+45+45,,,,
31,38+56+41,19+23+23,,35+48+29,21+22+13,,50+62+40,,,30+30+30,23+25+20,,17+28+27,48+54+55,,26+19+23,54+58+50,,28+21+37,45+45+50,,24+24+23,50+50+50,,21+33+31,55+55+50,,22+17+26,42+50+50,,27+30+29,,
32,38+50+34,19+23+23,,33+36+21,21+22+10,,37+30+7,,,25+32+31,22+25+20,,29+23+21,45+50+50,,30+22+23,56+58+50,,28+24+33,42+40+50,,31+21+22,50+47+55,,18+31+34,50+55+40,,26+16+23,46+45+45,,,,
33,38+39+31,19+21+21,,33+38+25,22+20+12,,17+5+4,,,33+18+10,23+15+15,,21+17+22,46+44+45,,26+20+26,52+55+55,,30+27+32,45+40+50,,24+13+24,48+39+45,,18+27+27,55+55+50,,21+20+26,41+50+50,,,,
34,23+37+30,17+21+21,,33+26+19,22+21+11,,7+10+2,,,5+3+15,20+15+15,,15+4+12,46+43+40,,14+11+14,51+50+45,,14+16+14,40+40+50,,23+8+13,43+39+45,,17+15+23,45+50+35,,20+9+21,40+45+45,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,30+37+33,18+21+21,,15+34+23,19+21+12,,7+3+1,,,25+15+16,22+15+15,,11+10+12,45+40+40,,12+8+21,50+48+45,,13+8+16,36+40+50,,22+10+18,50+35+45,,17+11+17,40+50+35,,23+16+23,43+45+45,,,,
37,30+27+0,18+20+0,,5+19+0,19+22+0,,7+15+0,,,28+21+0,23+20+0,,5+4+0,40+0+0,,13+10+0,50+49+0,,18+4+0,30+40+0,,18+5+0,42+35+0,,15+12+0,50+0+0,,27+16+0,47+45+0,,,,
38,38+40+40,19+22+22,,30+37+21,22+24+11,,33+37+43,,,58+38+31,23+25+23,,23+31+32,56+48+50,,27+29+31,52+52+54,,22+23+27,40+45+50,,27+23+26,48+48+50,,23+33+33,55+55+50,,29+18+21,49+50+50,,47+40+32,,
39,0+62+57,0+24+24,,0+36+28,0+20+11,,0+28+19,,,0+39+31,0+25+20,,0+23+28,0+48+40,,0+15+22,0+54+45,,0+18+20,0+45+50,,0+12+24,0+47+45,,0+16+33,0+50+45,,0+28+32,0+55+55,,,,
